报告日期,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),29515,48066,60748,54834,64285,54274,21488,4729,765,3562,4724,3367,4556,18132,3942,1077,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),1433,272,595,77,43,10,350,--,--,--,320,70,1939,22387,20082,12176,
应收账款(万元),46799,16049,21634,19512,24635,12417,11226,6604,32298,7009,--,--,1649,21684,31858,25722,
预付款项(万元),4989,519,556,382,845,498,346,432,364,2487,0,80,358,892,2801,2819,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),44,212,227,--,--,788,47,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),2052,2284,2871,6858,3972,4071,2797,3873,302,109,88,44,805,1490,2100,4203,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),7803,3084,2969,2121,1306,972,509,235,2,2,29,37,1494,20354,15190,18272,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),852,13518,5839,2267,4667,3200,2800,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),16978,20978,20177,28369,12023,462,1,--,--,--,--,--,0,0,0,0,
流动资产合计(万元),129220,108539,115617,114419,111776,76690,39562,15873,33731,13168,5162,3598,10801,84939,75974,64269,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),128,69599,20890,--,--,2267,4667,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),972,1052,2901,9025,4938,4388,1319,793,--,--,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
